example_id                                          | status  | run_time               |
./spec/self_host_nonownership_shrink_spec.rb[1:42]  | passed  | 0.00662 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:43]  | passed  | 0.00941 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:44]  | passed  | 0.00429 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:45]  | passed  | 0.01428 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:46]  | passed  | 0.02033 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:47]  | passed  | 0.00713 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:48]  | passed  | 0.01258 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:49]  | passed  | 0.01381 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:50]  | passed  | 0.02113 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:51]  | passed  | 0.00397 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:52]  | passed  | 0.01129 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:53]  | passed  | 0.01097 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:54]  | passed  | 0.01274 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:55]  | passed  | 0.01938 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:56]  | passed  | 0.00511 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:57]  | passed  | 0.01294 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:58]  | passed  | 0.00604 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:59]  | passed  | 0.00674 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:60]  | passed  | 0.01789 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:61]  | passed  | 0.01506 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:62]  | passed  | 0.02054 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:63]  | passed  | 0.01913 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:64]  | passed  | 0.00799 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:65]  | passed  | 0.01104 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:66]  | passed  | 0.02429 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:67]  | passed  | 0.00597 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:68]  | passed  | 0.01303 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:69]  | passed  | 0.00889 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:70]  | passed  | 0.00518 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:71]  | passed  | 0.00575 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:72]  | passed  | 0.00526 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:73]  | passed  | 0.00417 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:74]  | passed  | 0.00632 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:75]  | passed  | 0.00596 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:76]  | passed  | 0.00483 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:77]  | passed  | 0.00938 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:78]  | passed  | 0.00393 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:79]  | passed  | 0.00597 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:80]  | passed  | 0.00619 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:81]  | passed  | 0.00351 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:82]  | passed  | 0.0073 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:83]  | passed  | 0.26913 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:84]  | passed  | 0.01053 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:85]  | passed  | 0.00955 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:86]  | passed  | 0.00627 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:87]  | passed  | 0.00496 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:88]  | passed  | 0.01566 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:89]  | passed  | 0.01317 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:90]  | passed  | 0.00621 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:91]  | passed  | 0.01502 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:92]  | passed  | 0.00533 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:93]  | passed  | 0.00361 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:94]  | passed  | 0.00555 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:95]  | passed  | 0.00568 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:96]  | passed  | 0.00881 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:97]  | passed  | 0.00476 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:98]  | passed  | 0.00772 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:99]  | passed  | 0.00585 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:100] | passed  | 0.00585 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:101] | passed  | 0.00761 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:102] | passed  | 0.00655 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:103] | failed  | 1 minute 20.96 seconds |
./spec/self_host_nonownership_shrink_spec.rb[1:104] | passed  | 4.95 seconds           |
./spec/self_host_nonownership_shrink_spec.rb[1:105] | passed  | 0.01355 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:106] | passed  | 0.00426 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:107] | passed  | 0.00446 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:108] | passed  | 0.02081 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:109] | passed  | 0.00018 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:110] | passed  | 0.00727 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:111] | passed  | 0.00584 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:112] | passed  | 0.01156 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:113] | passed  | 0.00806 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:114] | passed  | 0.00997 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:115] | passed  | 0.00359 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:116] | passed  | 0.00597 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:117] | passed  | 0.03355 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:118] | passed  | 0.00798 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:119] | passed  | 0.00929 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:120] | passed  | 0.1297 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:121] | passed  | 0.00816 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:122] | passed  | 0.00547 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:123] | passed  | 0.01468 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:124] | passed  | 0.01101 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:125] | passed  | 0.01383 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:126] | passed  | 0.00418 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:127] | passed  | 0.00762 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:128] | passed  | 0.0107 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:129] | passed  | 0.00501 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:130] | passed  | 0.0087 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:131] | passed  | 0.00556 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:132] | passed  | 0.00819 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:133] | passed  | 0.00806 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:134] | passed  | 0.01424 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:135] | passed  | 0.0045 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:136] | passed  | 0.00937 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:137] | passed  | 0.00529 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:138] | passed  | 0.0125 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:139] | passed  | 0.00359 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:140] | passed  | 0.00927 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:141] | passed  | 0.0062 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:142] | passed  | 0.00565 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:143] | passed  | 0.00395 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:144] | passed  | 0.00542 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:145] | passed  | 0.00154 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:146] | passed  | 0.01108 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:147] | passed  | 0.00651 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:148] | passed  | 4.99 seconds           |
./spec/self_host_nonownership_shrink_spec.rb[1:149] | passed  | 6.8 seconds            |
./spec/self_host_nonownership_shrink_spec.rb[1:150] | passed  | 9.71 seconds           |
./spec/self_host_nonownership_shrink_spec.rb[1:151] | passed  | 2 minutes 27.6 seconds |
./spec/self_host_nonownership_shrink_spec.rb[1:152] | failed  | 4.79 seconds           |
./spec/self_host_nonownership_shrink_spec.rb[1:153] | passed  | 21.52 seconds          |
./spec/self_host_nonownership_shrink_spec.rb[1:154] | passed  | 6.14 seconds           |
./spec/self_host_nonownership_shrink_spec.rb[1:155] | failed  | 18.27 seconds          |
./spec/self_host_nonownership_shrink_spec.rb[1:156] | failed  | 59.07 seconds          |
./spec/self_host_nonownership_shrink_spec.rb[1:157] | passed  | 2 minutes 34.6 seconds |
./spec/self_host_nonownership_shrink_spec.rb[1:158] | passed  | 2 minutes 33.3 seconds |
./spec/self_host_nonownership_shrink_spec.rb[1:159] | passed  | 2 minutes 3.7 seconds  |
./spec/self_host_nonownership_shrink_spec.rb[1:160] | passed  | 9.3 seconds            |
./spec/self_host_nonownership_shrink_spec.rb[1:161] | passed  | 14.95 seconds          |
./spec/self_host_nonownership_shrink_spec.rb[1:162] | passed  | 0.00664 seconds        |
./spec/transpiler_spec.rb[1:1]                      | passed  | 0.00283 seconds        |
./spec/transpiler_spec.rb[1:2]                      | passed  | 0.00206 seconds        |
./spec/transpiler_spec.rb[1:3]                      | passed  | 0.00629 seconds        |
./spec/transpiler_spec.rb[1:4]                      | passed  | 0.00721 seconds        |
./spec/transpiler_spec.rb[1:5]                      | passed  | 0.00833 seconds        |
./spec/transpiler_spec.rb[1:6]                      | passed  | 0.00379 seconds        |
./spec/transpiler_spec.rb[1:7]                      | passed  | 0.00861 seconds        |
./spec/transpiler_spec.rb[1:8]                      | passed  | 0.00498 seconds        |
./spec/transpiler_spec.rb[1:9]                      | passed  | 0.0048 seconds         |
./spec/transpiler_spec.rb[1:10]                     | passed  | 0.00845 seconds        |
./spec/transpiler_spec.rb[1:11]                     | passed  | 0.00288 seconds        |
./spec/transpiler_spec.rb[1:12]                     | passed  | 0.00255 seconds        |
./spec/transpiler_spec.rb[1:13]                     | passed  | 0.00154 seconds        |
./spec/transpiler_spec.rb[1:14]                     | passed  | 0.00221 seconds        |
./spec/transpiler_spec.rb[1:15]                     | passed  | 0.00194 seconds        |
./spec/transpiler_spec.rb[1:16]                     | passed  | 0.00336 seconds        |
./spec/transpiler_spec.rb[1:17]                     | passed  | 0.00307 seconds        |
